,date,Country,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
247,2022-09-16,Honduras,2022-07-02,2022-09-28,"Choluteca, Colon, Comayagua, Copan, Cortes, Francisco Morazan, Intibuca, La Paz, Lempira, Ocotepeque, Olancho, Paraiso, Santa Barbara, Valle, Yoro (Adm1). ",Flood,,9.0,76657.0
248,2022-09-16,Macedonia (the former Yugoslav Republic of),,,,,,,
249,2022-09-16,India,2022-05-17,2022-10-31,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2). ",Flood,4200000.0,2035.0,1301260.0
250,2022-09-16,Japan,,,,,,,
251,2022-09-16,Madagascar,,,,,,,
252,2022-09-16,Philippines (the),,,,,,,
253,2022-09-16,Mexico,,,,,,,
254,2022-09-16,Malawi,2022-03-03,2023-03-17,,Epidemic,,1560.0,50454.0
255,2022-09-16,Nepal,2022-09-09,2022-09-17,,Flood,,15.0,511.0
256,2022-09-16,Pakistan,,,,,,,
257,2022-09-16,Italy,,,,,,,
258,2022-09-16,Lao People's Democratic Republic (the),,,,,,,
259,2022-09-16,Sri Lanka,,,,,,,
260,2022-09-16,Myanmar,,,,,,,
261,2022-09-16,Malaysia,,,,,,,
262,2022-09-16,Peru,,,,,,,
263,2022-09-16,Rwanda,,,,,,,
264,2022-09-16,Tajikistan,,,,,,,
265,2022-09-16,Indonesia,,,,,,,
266,2022-09-16,"Palestine, State of",,,,,,,
267,2022-09-16,Syrian Arab Republic,2022-09-11,2022-09-20,,Epidemic,,23.0,1189.0
268,2022-09-16,Ireland,,,,,,,
269,2022-09-16,Kiribati,,,,,,,
270,2022-09-16,Oman,,,,,,,
271,2022-09-16,Solomon Islands,,,,,,,
272,2022-09-16,Somalia,,,,,,,
273,2022-09-16,Iran (Islamic Republic of),,,,,,,
274,2022-09-16,Iraq,,,,,,,
275,2022-09-16,Israel,,,,,,,
276,2022-09-16,Kazakhstan,,,,,,,
277,2022-09-16,Kenya,,,,,,,
278,2022-09-16,Kyrgyzstan,,,,,,,
279,2022-09-16,Lebanon,,,,,,,
280,2022-09-16,Mali,2022-07-01,2022-10-31,Mopti (Adm1). ,Flood,,10.0,79012.0
281,2022-09-16,Mozambique,,,,,,,
282,2022-09-16,Nigeria,2022-07-01,2022-10-31,"Adamawa, Akwa Ibom, Anambra, Bayelsa, Benue, Borno, Cross River, Delta, Enugu, Imo, Kebbi, Kogi, Lagos, Nassarawa, Niger, Rivers, Taraba, Yobe (Adm1). ",Flood,4200000.0,603.0,2802500.0
283,2022-09-16,Nicaragua,,,,,,,
284,2022-09-16,New Zealand,,,,,,,
285,2022-09-16,Panama,,,,,,,
286,2022-09-16,Papua New Guinea,,,,,,,
287,2022-09-16,Poland,,,,,,,
288,2022-09-16,Korea (the Democratic People's Republic of),,,,,,,
289,2022-09-16,Portugal,,,,,,,
290,2022-09-16,Paraguay,,,,,,,
291,2022-09-16,Romania,,,,,,,
292,2022-09-16,Russian Federation (the),,,,,,,
293,2022-09-16,Saudi Arabia,,,,,,,
294,2022-09-16,Sudan (the),2022-05-10,2022-09-30,"Kassala, Southern Kordofan, Western Darfur, White Nile (Adm1). Kas (Adm2). ",Flood,10000.0,146.0,349122.0
